student_id,attendance,internal_marks,assignment_marks,final_grade,category
119,48.77,84.15,62.86,62.5,AVERAGE
120,79.44,91.83,72.02,82.51,GOOD
121,84.62,42.63,51.11,58.61,NEEDS_IMPROVEMENT
122,80.28,73.21,63.68,70.98,AVERAGE
123,86.12,41.61,92.19,80.77,GOOD
124,100.0,88.89,42.36,80.64,GOOD
125,87.76,54.49,74.93,68.64,AVERAGE
126,66.15,48.36,48.45,58.89,NEEDS_IMPROVEMENT
127,87.4,79.22,57.09,76.23,GOOD
128,100.0,69.56,98.55,99.41,EXCELLENT
129,70.6,88.37,82.6,84.14,GOOD
130,89.33,40.96,61.84,64.13,AVERAGE
131,82.67,48.83,81.2,71.9,AVERAGE
132,92.51,73.99,76.16,80.61,GOOD
133,84.07,52.37,54.65,64.93,AVERAGE
134,80.42,68.58,87.84,77.46,GOOD
135,73.48,60.95,78.32,68.43,AVERAGE
136,77.2,62.66,95.01,82.6,GOOD
137,84.01,93.67,72.33,87.63,EXCELLENT
138,100.0,75.01,76.3,81.85,GOOD
139,73.7,59.3,44.12,57.53,NEEDS_IMPROVEMENT
140,79.48,69.79,95.73,88.77,EXCELLENT
141,79.26,84.9,53.66,76.38,GOOD
142,84.34,92.65,59.86,80.85,GOOD
143,70.44,87.17,84.85,83.23,GOOD
144,71.72,72.64,78.6,77.87,GOOD
145,70.81,63.03,76.07,73.56,AVERAGE
146,77.35,51.37,48.22,62.74,AVERAGE
147,72.24,78.8,79.18,76.13,GOOD
148,72.66,97.25,82.74,86.03,EXCELLENT
149,88.86,96.46,92.9,100.0,EXCELLENT
150,100.0,88.71,79.82,87.76,EXCELLENT
151,85.53,70.61,74.74,76.42,GOOD
152,59.6,89.84,73.91,70.12,AVERAGE
153,83.74,96.52,73.75,86.74,EXCELLENT
154,73.3,67.43,87.46,74.51,AVERAGE
155,97.93,46.15,73.64,71.05,AVERAGE
156,71.67,80.51,47.81,68.57,AVERAGE
157,64.68,76.9,65.63,72.12,AVERAGE
158,89.75,65.42,89.8,79.12,GOOD
159,79.32,76.67,62.56,76.68,GOOD
160,78.77,93.43,79.3,86.1,EXCELLENT
161,89.64,100.0,77.8,93.58,EXCELLENT
162,69.85,83.8,68.47,74.74,AVERAGE
163,92.61,51.13,66.09,64.26,AVERAGE
164,56.24,80.49,72.15,64.98,AVERAGE
165,79.95,53.1,91.09,81.06,GOOD
166,83.13,30.0,64.58,56.75,NEEDS_IMPROVEMENT
167,100.0,90.68,73.32,90.23,EXCELLENT
168,80.89,60.47,87.23,77.23,GOOD
169,95.74,64.46,100.0,92.04,EXCELLENT
170,100.0,76.54,64.99,81.76,GOOD
171,87.84,71.92,80.7,80.2,GOOD
172,80.57,67.77,81.09,72.27,AVERAGE
173,85.99,92.12,60.52,79.45,GOOD
174,83.37,88.86,97.66,98.21,EXCELLENT
175,77.41,78.51,87.54,83.97,GOOD
176,70.62,76.91,74.48,73.14,AVERAGE
177,79.62,90.58,83.71,79.79,GOOD
178,97.23,34.27,65.51,66.26,AVERAGE
179,72.98,77.68,69.13,71.43,AVERAGE
180,94.94,62.0,54.97,72.73,AVERAGE
181,74.77,73.25,66.45,72.64,AVERAGE
182,95.45,77.71,71.72,81.16,GOOD
183,90.91,73.56,88.19,79.4,GOOD
184,93.74,65.91,100.0,93.15,EXCELLENT
185,96.62,48.39,85.33,79.62,GOOD
186,77.14,76.39,85.7,80.44,GOOD
187,100.0,79.1,86.04,89.76,EXCELLENT
188,89.58,44.78,97.04,81.53,GOOD
189,79.04,78.55,83.21,81.0,GOOD
190,76.34,81.45,92.39,92.71,EXCELLENT
191,75.54,93.29,67.24,81.48,GOOD
192,63.56,36.91,81.46,54.85,NEEDS_IMPROVEMENT
193,70.42,49.28,85.41,72.66,AVERAGE
194,94.73,78.87,40.0,70.36,AVERAGE
195,95.34,100.0,100.0,100.0,EXCELLENT
196,91.38,78.23,74.11,80.38,GOOD
197,54.61,57.57,49.99,51.34,NEEDS_IMPROVEMENT
198,93.77,47.48,54.76,64.48,AVERAGE
199,88.25,47.0,73.74,69.11,AVERAGE
200,56.11,75.54,64.91,63.39,AVERAGE
201,81.88,65.52,74.58,73.23,AVERAGE
202,69.47,64.83,41.34,57.9,NEEDS_IMPROVEMENT
203,69.22,90.56,61.05,77.74,GOOD
204,67.47,91.79,51.79,75.69,GOOD
205,77.22,66.72,75.47,76.92,GOOD
206,71.64,56.45,64.53,66.57,AVERAGE
207,100.0,72.07,86.73,84.53,GOOD
208,71.27,43.87,58.83,54.79,NEEDS_IMPROVEMENT
209,83.51,45.88,70.44,66.27,AVERAGE
210,98.42,52.66,96.55,88.07,EXCELLENT
211,88.37,69.25,84.3,76.67,GOOD
212,78.33,59.4,63.51,68.07,AVERAGE
213,63.62,61.88,94.58,82.22,GOOD
214,82.88,64.52,77.73,76.4,GOOD
215,68.21,46.3,40.0,46.59,NEEDS_IMPROVEMENT
216,85.83,99.94,73.8,88.24,EXCELLENT
217,93.79,69.51,78.08,81.35,GOOD
218,77.38,51.33,79.84,68.54,AVERAGE
219,96.29,87.64,81.96,89.6,EXCELLENT
220,80.16,44.33,51.72,57.95,NEEDS_IMPROVEMENT
221,80.85,83.11,71.11,75.08,GOOD
222,65.91,67.74,54.68,66.04,AVERAGE
223,76.8,91.35,70.74,80.7,GOOD
224,74.18,72.35,74.28,75.82,GOOD
225,94.24,49.19,40.0,61.21,AVERAGE
226,62.45,38.37,72.26,51.17,NEEDS_IMPROVEMENT
227,71.81,76.75,45.52,67.86,AVERAGE
228,81.79,51.71,92.18,79.59,GOOD
229,73.35,61.28,61.42,61.64,AVERAGE
230,100.0,76.01,63.53,83.96,GOOD
231,90.17,60.29,99.04,90.52,EXCELLENT
232,99.53,96.09,80.27,91.2,EXCELLENT
233,100.0,78.65,66.04,80.13,GOOD
234,98.01,64.18,63.43,76.68,GOOD
235,94.94,66.46,50.06,70.64,AVERAGE
236,99.92,96.93,83.61,95.83,EXCELLENT
237,80.86,78.29,94.5,94.39,EXCELLENT
238,74.53,43.94,61.39,55.86,NEEDS_IMPROVEMENT
239,76.68,68.68,79.18,73.07,AVERAGE
240,77.49,83.24,68.87,79.39,GOOD
241,89.94,89.01,79.59,85.28,EXCELLENT
242,72.07,79.57,90.06,91.85,EXCELLENT
243,83.61,86.28,85.41,86.04,EXCELLENT
244,99.35,82.17,74.47,83.18,GOOD
245,71.29,81.27,83.73,80.4,GOOD
246,97.95,62.49,71.83,77.93,GOOD
247,78.19,75.75,59.5,71.5,AVERAGE
248,100.0,71.67,76.37,78.06,GOOD
249,57.12,99.93,54.13,66.11,AVERAGE
250,100.0,100.0,100.0,100.0,EXCELLENT
251,91.68,62.36,60.48,70.71,AVERAGE
252,90.45,98.8,71.98,88.36,EXCELLENT
253,69.25,33.59,73.15,57.94,NEEDS_IMPROVEMENT
254,64.64,92.3,84.93,81.26,GOOD
255,74.42,97.06,87.81,86.35,EXCELLENT
256,82.11,36.77,75.96,60.27,AVERAGE
257,87.7,47.61,54.03,66.3,AVERAGE
258,100.0,68.2,63.17,77.52,GOOD
259,91.49,95.98,70.09,85.65,EXCELLENT
260,76.6,72.55,91.58,87.13,EXCELLENT
261,79.68,60.81,40.0,60.76,AVERAGE
262,81.0,77.81,49.26,68.8,AVERAGE
263,84.4,45.45,74.55,69.27,AVERAGE
264,68.98,59.07,67.42,64.56,AVERAGE
265,86.43,83.41,73.46,81.6,GOOD
266,63.92,31.27,64.01,48.48,NEEDS_IMPROVEMENT
267,89.29,93.15,74.28,89.4,EXCELLENT
268,70.31,48.99,61.57,62.21,AVERAGE
269,84.85,58.96,71.87,71.05,AVERAGE
270,77.29,89.43,74.1,83.88,GOOD
271,81.7,40.36,95.12,80.56,GOOD
272,73.29,96.25,72.7,81.75,GOOD
273,70.35,85.08,59.62,75.35,GOOD
274,100.0,60.71,78.12,79.52,GOOD
275,64.06,79.49,68.65,77.37,GOOD
276,88.69,76.99,79.17,80.56,GOOD
277,82.53,100.0,60.97,84.76,GOOD
278,48.17,52.96,75.27,53.82,NEEDS_IMPROVEMENT
279,92.61,82.2,69.95,80.41,GOOD
280,100.0,76.16,100.0,98.13,EXCELLENT
281,86.06,73.02,53.57,74.39,AVERAGE
282,73.03,71.34,76.48,72.46,AVERAGE
283,93.07,56.78,74.05,72.34,AVERAGE
284,87.71,78.14,82.71,84.6,GOOD
285,86.15,76.76,84.58,79.97,GOOD
286,96.61,76.09,40.0,72.89,AVERAGE
287,84.98,73.08,87.37,80.72,GOOD
288,91.08,90.4,56.84,83.83,GOOD
289,85.51,93.91,69.61,84.71,GOOD
290,92.0,36.31,60.95,65.14,AVERAGE
291,78.43,72.8,68.71,73.98,AVERAGE
292,94.63,88.66,68.85,86.85,EXCELLENT
293,70.19,41.82,76.25,63.08,AVERAGE
294,100.0,100.0,100.0,100.0,EXCELLENT
295,76.31,53.12,91.02,81.11,GOOD
296,80.65,95.17,58.65,79.05,GOOD
297,70.82,64.3,56.45,63.74,AVERAGE
298,57.43,71.39,64.71,57.83,NEEDS_IMPROVEMENT
299,84.79,96.01,40.91,80.21,GOOD
300,83.2,52.96,71.7,68.47,AVERAGE
